sample,fatty_acid,abbreviation,category,n_type,percentage
Parmigiano Reggiano,Acido Caprilico,C8:0,SFA,,1.15
Parmigiano Reggiano,Acido Caprico,C10:0,SFA,,2.89
Parmigiano Reggiano,Acido Laurico,C12:0,SFA,,3.10
Parmigiano Reggiano,Acido Miristico,C14:0,SFA,,12.41
Parmigiano Reggiano,Acido Miristoleico,C14:1,MUFA,n-9,1.02
Parmigiano Reggiano,Acido Pentadecanoico,C15:0,SFA,,1.31
Parmigiano Reggiano,Acido Palmitico,C16:0,SFA,,30.14
Parmigiano Reggiano,Acido Palmitoleico,C16:1,MUFA,n-7,1.85
Parmigiano Reggiano,Acido Eptadecanoico,C17:0,SFA,,0.71
Parmigiano Reggiano,Acido Stearico,C18:0,SFA,,10.98
Parmigiano Reggiano,Acido Oleico,C18:1 n-9,MUFA,n-9,21.55
Parmigiano Reggiano,Acido Linoleico,C18:2 n-6,PUFA,n-6,1.98
Parmigiano Reggiano,Acido alfa-Linolenico,C18:3 n-3,PUFA,n-3,0.48
Parmigiano Reggiano,CLA c9t11,C18:2 c9t11,PUFA,n-6,0.62
Parmigiano Reggiano,Acido Arachidonico,C20:4 n-6,PUFA,n-6,0.12
Parmigiano Reggiano,Acido Eicosadienoico,C20:0,SFA,,0.10
Pecorino Romano,Acido Butirrico,C4:0,SFA,,3.88
Pecorino Romano,Acido Caproico,C6:0,SFA,,2.75
Pecorino Romano,Acido Caprilico,C8:0,SFA,,2.55
Pecorino Romano,Acido Caprico,C10:0,SFA,,7.20
Pecorino Romano,Acido Laurico,C12:0,SFA,,4.30
Pecorino Romano,Acido Miristico,C14:0,SFA,,11.60
Pecorino Romano,Acido Miristoleico,C14:1,MUFA,n-9,0.45
Pecorino Romano,Acido Pentadecanoico,C15:0,SFA,,1.05
Pecorino Romano,Acido Palmitico,C16:0,SFA,,26.80
Pecorino Romano,Acido Palmitoleico,C16:1,MUFA,n-7,1.10
Pecorino Romano,Acido Eptadecanoico,C17:0,SFA,,0.68
Pecorino Romano,Acido Stearico,C18:0,SFA,,9.10
Pecorino Romano,Acido Oleico,C18:1 n-9,MUFA,n-9,20.40
Pecorino Romano,Acido Linoleico,C18:2 n-6,PUFA,n-6,2.85
Pecorino Romano,Acido alfa-Linolenico,C18:3 n-3,PUFA,n-3,1.25
Pecorino Romano,CLA c9t11,C18:2 c9t11,PUFA,n-6,1.10
Pecorino Romano,Acido Arachidonico,C20:4 n-6,PUFA,n-6,0.22
Pecorino Romano,Acido Eicosadienoico,C20:0,SFA,,0.14
